//SoMachine Online Variables Export V1.0
//Important: Please do not remove or change Application CodeId and DataId Guids from this file. If you modify this file make sure it respects the syntax variable name and value separated by a semicolon
//ApplicationDataIdGuid;e9d1f037-0000-0000-0000-000000000000
//ApplicationCodeIdGuid;67725c10-0000-0000-0000-000000000000

//Variable;//Online Value;

GVL.fA026;25;
GVL.fA027;0;
GVL.Fair;432.1645;
GVL.FanCurrent;593.2;
GVL.FanDC;2725.5;
GVL.FanSpeed;995.5;
GVL.FanVoltage;812;
GVL.Fgas;101.188271;
GVL.firstStep;FALSE;
GVL.flame;0;
GVL.Fpara;0;
GVL.Fwater;0;
GVL.gGain;1.02;
GVL.gGas;-2.04;
GVL.gOffset;40;
GVL.gSupp;3981.59985;
GVL.gSuppGain;1.05;
GVL.gSuppOffset;0;
GVL.gTerm;15.3399992;
GVL.gTermGain;1.18;
GVL.gTermOffset;60;
GVL.Halt;FALSE;
GVL.heatingGas;800;
GVL.hourEce;0;
GVL.hourGas;0;
GVL.hourPara;0;
GVL.hourWarm;0;
GVL.ignSP0002;2015.87;
GVL.K2001;0;
GVL.Ke0001;0;
GVL.Ke0002;0;
GVL.Ke0003;0.3;
GVL.Ke0004;0;
GVL.Ke0005;0;
GVL.Kmix001;0;
GVL.Kmix002;0.25;
GVL.Kmix003;0.5;
GVL.Kmix004;0;
GVL.Kmix005;0;
GVL.Kp0001;1.35;
GVL.Kp0002;9;
GVL.Kp0003;-0.4;
GVL.Kp0004;0.55;
GVL.Kp0005;2;
GVL.Kp0006;0.35;
GVL.Kp0007;0.5;
GVL.Kp0008;0.2;
GVL.Ldrum;1480;
GVL.linkExh;TRUE;
GVL.linkFan;TRUE;
GVL.linkPD150;TRUE;
GVL.linkPump;TRUE;
GVL.maxS1;0;
GVL.maxS2;0;
GVL.maxS3;0;
GVL.maxS4;0;
GVL.maxS5;0;
GVL.max_Fgas;3000;
GVL.max_Fpara;25;
GVL.max_Fwater;25;
GVL.max_Ppara;25;
GVL.max_Tpar;400;
GVL.max_Tv3a;400;
GVL.modeGas;0;
GVL.Omix001;0;
GVL.Omix002;0;
GVL.Omix003;0;
GVL.Omix004;0;
GVL.Omix005;0;
GVL.Pack_hi;15902;
GVL.Pack_lo;20431;
GVL.Pack_v;0.154601321;
GVL.Pair;2157.1;
GVL.Pg15a;6.184053;
GVL.Pp7a;0;
GVL.Ppara;0;
GVL.prLock;FALSE;
GVL.PumpCurrent;0;
GVL.PumpDC;2750;
GVL.PumpSpeed;0;
GVL.PumpVoltage;0;
GVL.Pv12a;0;
GVL.Pvac;1176.76;
GVL.pvFiring;30000;
GVL.pvIgniting;20000;
GVL.pvStartExh;60000;
GVL.pvStartfan;10000;
GVL.pvStartfeed;300000;
GVL.pvTBlowing;5000;
GVL.pvTVentPost;180000;
GVL.pvTVentPre;120000;
GVL.qgas;34;
GVL.QO2fume;0;
GVL.regO2en;FALSE;
GVL.Run;FALSE;
GVL.sca_Fgas;0;
GVL.sca_Fpara;0;
GVL.sca_Fwater;0;
GVL.sca_Ppara;0;
GVL.sca_Tpar;0;
GVL.sca_Tv3a;0;
GVL.serenaLock;FALSE;
GVL.Sp0001;1008.7;
GVL.Sp0002;2158.73022;
GVL.Sp0003;1200;
GVL.Sp0004;3280;
GVL.Sp0005;3100;
GVL.Sp0006;240;
GVL.Sp0007;2560;
GVL.Sp0008;1320;
GVL.Sp0009;2555.56;
GVL.Sp0010;0;
GVL.spIgniting;20000;
GVL.spStartExh;60000;
GVL.spStartfan;10000;
GVL.spStartfeed;300000;
GVL.spTBlowing;5000;
GVL.spTstart;5000;
GVL.spTVentPost;180000;
GVL.spTVentPre;120000;
GVL.stab1;FALSE;
GVL.stab2;FALSE;
GVL.stab3;FALSE;
GVL.stab4;FALSE;
GVL.stab5;FALSE;
GVL.startExh;1000;
GVL.startFan;560;
GVL.startGas;400;
GVL.startPump;400;
GVL.startSP0002;2031.75;
GVL.startTerm;4000;
GVL.State;0;
GVL.stateTight;0;
GVL.stWait;FALSE;
GVL.Ta5a;776.3;
GVL.Ta6a;685.9;
GVL.Td0001;0;
GVL.Td0002;0;
GVL.Td0003;0;
GVL.Td0004;0;
GVL.Td0005;0;
GVL.Td0006;0;
GVL.Td0007;0;
GVL.Td0008;0;
GVL.Ti0001;240;
GVL.Ti0002;48;
GVL.Ti0003;78;
GVL.Ti0004;57;
GVL.Ti0005;240;
GVL.Ti0006;96;
GVL.Ti0007;60;
GVL.Ti0008;600;
GVL.Tk;204.1;
GVL.tMeo1;T#1s;
GVL.tMeo2;T#1s;
GVL.tMeo3;T#1s;
GVL.tMeoGas;0;
GVL.tMeoTerm;0;
GVL.Tp17a;645.4;
GVL.Tp18a;763.6;
GVL.Tpar;878.1;
GVL.Tpr0001;1000;
GVL.Tpr0002;30000;
GVL.Tpr0003;30000;
GVL.Tpr0004;30000;
GVL.Tpr0005;30000;
GVL.Tpr0006;30000;
GVL.Tpr0007;60000;
GVL.Tpr0008;30000;
GVL.Tpr0009;10000;
GVL.Tpr0010;30000;
GVL.Tpr0011;10000;
GVL.Tpr0012;10000;
GVL.Tv3a;764.9;
GVL.Tv4a;831.7;
GVL.uptime;0;
GVL.Vx;0;
GVL.W01;28680;
GVL.W02;17110;
GVL.xExhRun;TRUE;
GVL.xFanRun;TRUE;
GVL.Xmax0001;4000;
GVL.Xmax0002;3600;
GVL.Xmax0003;4000;
GVL.Xmax0004;1320;
GVL.Xmax0005;1400;
GVL.Xmax0006;2600;
GVL.Xmax0007;1200;
GVL.Xmax0008;1000;
GVL.Xmin0001;1200;
GVL.Xmin0002;0;
GVL.Xmin0003;0;
GVL.Xmin0004;320;
GVL.Xmin0005;680;
GVL.Xmin0006;80;
GVL.Xmin0007;400;
GVL.Xmin0008;400;
GVL.xPumpRun;FALSE;
GVL.Xt0001;0;
GVL.Xt0002;1499.48145;
GVL.Xt0003;951.5375;
GVL.Xt0004;0;
GVL.Xt0005;0;
GVL.Xt0006;1499.48145;
GVL.Xt0007;1200;
GVL.Xt0008;0;
